a	ə	[a:ə]
professionalism	prəˈfeʃənəˌlɪzəm	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:ʃ|io:ə].[n:n|a:ə].ˌ[l:l|i:ɪ].[s:z|m:əm]
professionalize	prəˈfeʃənəˌlaɪz	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:ʃ|io:ə].[n:n|a:ə].ˌ[l:l|i:aɪ|ze:z]
professionalized	prəˈfeʃənəˌlaɪzd	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:ʃ|io:ə].[n:n|a:ə].ˌ[l:l|i:aɪ|ze:z|d:d]
professionally	prəˈfeʃənəliː	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:ʃ|io:ə].[n:n|a:ə].[ll:l|y:iː]
professionals	prəˈfeʃənəlz	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:ʃ|io:ə].[n:n|a:ə|l:l|s:z]
professionals'	prəˈfeʃənəlz	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:ʃ|io:ə].[n:n|a:ə|l:l|s':z]
professions	prəˈfeʃənz	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:ʃ|io:ə|n:n|s:z]
professor	prəˈfesər	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:s|or:ər]
professor's	prəˈfesərz	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:s|or:ər|'s:z]
professorial	ˌproʊfəˈsɔːriːəl	ˌ[p:p|r:r|o:oʊ].[f:f|e:ə].ˈ[ss:s|o:ɔː].[r:r|i:iː].[a:ə|l:l]
professors	prəˈfesərz	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:s|or:ər|s:z]
professors'	prəˈfesərz	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:s|or:ər|s':z]
professorship	prəˈfesərˌʃɪp	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:s|or:ər].ˌ[sh:ʃ|i:ɪ|p:p]
professorships	prəˈfesərˌʃɪps	[p:p|r:r|o:ə].ˈ[f:f|e:e].[ss:s|or:ər].ˌ[sh:ʃ|i:ɪ|p:p|s:s]
profeta	proʊˈfetə	[p:p|r:r|o:oʊ].ˈ[f:f|e:e].[t:t|a:ə]
proffer	ˈprɑːfər	ˈ[p:p|r:r|o:ɑː].[ff:f|er:ər]
proffered	ˈprɑːfərd	ˈ[p:p|r:r|o:ɑː].[ff:f|er:ər|ed:d]
proffering	ˈprɑːfərɪŋ	ˈ[p:p|r:r|o:ɑː].[ff:f|er:ər].[i:ɪ|ng:ŋ]
proffit	ˈprɑːfɪt	ˈ[p:p|r:r|o:ɑː].[ff:f|i:ɪ|t:t]
proffitt	ˈprɑːfɪt	ˈ[p:p|r:r|o:ɑː].[ff:f|i:ɪ|tt:t]
proficiency	prəˈfɪʃənsiː	[p:p|r:r|o:ə].ˈ[f:f|i:ɪ].[ci:ʃ|e:ə|n:n].[c:s|y:iː]
proficient	prɑːˈfɪʃənt	[p:p|r:r|o:ɑː].ˈ[f:f|i:ɪ].[ci:ʃ|e:ə|n:n|t:t]
profile	ˈproʊˌfaɪl	ˈ[p:p|r:r|o:oʊ].ˌ[f:f|i:aɪ|le:l]
profiled	ˈproʊˌfaɪld	ˈ[p:p|r:r|o:oʊ].ˌ[f:f|i:aɪ|l:l|ed:d]
profiles	ˈproʊˌfaɪlz	ˈ[p:p|r:r|o:oʊ].ˌ[f:f|i:aɪ|l:l|es:z]
profiling	ˈproʊˌfaɪlɪŋ	ˈ[p:p|r:r|o:oʊ].ˌ[f:f|i:aɪ].[l:l|i:ɪ|ng:ŋ]
profit	ˈprɑːfət	ˈ[p:p|r:r|o:ɑː].[f:f|i:ə|t:t]
profitability	ˌprɑːfɪtəˈbɪlɪtiː	ˌ[p:p|r:r|o:ɑː].[f:f|i:ɪ].[t:t|a:ə].ˈ[b:b|i:ɪ].[l:l|i:ɪ].[t:t|y:iː]
profitable	ˈprɑːfətəbəl	ˈ[p:p|r:r|o:ɑː].[f:f|i:ə].[t:t|a:ə].[b:b|le:əl]
profitably	ˈprɑːfətəbliː	ˈ[p:p|r:r|o:ɑː].[f:f|i:ə].[t:t|a:ə].[b:b|l:l|y:iː]
profited	ˈprɑːfətəd	ˈ[p:p|r:r|o:ɑː].[f:f|i:ə].[t:t|e:ə|d:d]
profiteer	ˌprɑːfəˈtɪr	ˌ[p:p|r:r|o:ɑː].[f:f|i:ə].ˈ[te:t|e:ɪ|r:r]
profiteering	ˌprɑːfəˈtɪrɪŋ	ˌ[p:p|r:r|o:ɑː].[f:f|i:ə].ˈ[te:t|e:ɪ].[r:r|i:ɪ|ng:ŋ]
profiteers	ˌprɑːfəˈtɪrz	ˌ[p:p|r:r|o:ɑː].[f:f|i:ə].ˈ[te:t|e:ɪ|r:r|s:z]
profiting	ˈprɑːfətɪŋ	ˈ[p:p|r:r|o:ɑː].[f:f|i:ə].[t:t|i:ɪ|ng:ŋ]
profits	ˈprɑːfɪts	ˈ[p:p|r:r|o:ɑː].[f:f|i:ɪ|t:t|s:s]
profitt	ˈprɑːfɪt	ˈ[p:p|r:r|o:ɑː].[f:f|i:ɪ|tt:t]
profittaking	ˈprɑːfɪtˌteɪkɪŋ	ˈ[p:p|r:r|o:ɑː].[f:f|i:ɪ|t:t].ˌ[t:t|a:eɪ].[k:k|i:ɪ|ng:ŋ]
profligacy	ˈprɔːflɪˌɡæsiː	ˈ[p:p|r:r|o:ɔː].[f:f|l:l|i:ɪ].ˌ[g:ɡ|a:æ].[c:s|y:iː]
profligate	ˈprɔːflɪˌɡeɪt	ˈ[p:p|r:r|o:ɔː].[f:f|l:l|i:ɪ].ˌ[g:ɡ|a:eɪ|te:t]
profound	proʊˈfaʊnd	[p:p|r:r|o:oʊ].ˈ[f:f|ou:aʊ|n:n|d:d]
profoundly	proʊˈfaʊndliː	[p:p|r:r|o:oʊ].ˈ[f:f|ou:aʊ|n:n|d:d].[l:l|y:iː]
profs	ˈprɑːfs	ˈ[p:p|r:r|o:ɑː|f:f|s:s]
profuse	prəˈfjuːs	[p:p|r:r|o:ə].ˈ[f:f|u:juː|se:s]
profusely	prəˈfjuːsliː	[p:p|r:r|o:ə].ˈ[f:f|u:juː].[se:s|l:l|y:iː]
profusion	prəˈfjuːʒən	[p:p|r:r|o:ə].ˈ[f:f|u:juː].[si:ʒ|o:ə|n:n]
progenitor	proʊˈdʒenɪtər	[p:p|r:r|o:oʊ].ˈ[g:dʒ|e:e].[n:n|i:ɪ].[t:t|or:ər]
progeny	ˈprɑːdʒəniː	ˈ[p:p|r:r|o:ɑː].[g:dʒ|e:ə].[n:n|y:iː]
progesterone	proʊˈdʒestərˌoʊn	[p:p|r:r|o:oʊ].ˈ[g:dʒ|e:e].[s:s|t:t|er:ər].ˌ[o:oʊ|ne:n]
progestin	proʊˈdʒestɪn	[p:p|r:r|o:oʊ].ˈ[g:dʒ|e:e].[s:s|t:t|i:ɪ|n:n]
proglacial	proʊˈɡleɪʃəl	[p:p|r:r|o:oʊ].ˈ[g:ɡ|l:l|a:eɪ].[ci:ʃ|a:ə|l:l]
prognoses	prɑːɡˈnoʊsiːz	[p:p|r:r|o:ɑː|g:ɡ].ˈ[n:n|o:oʊ].[s:s|e:iː|s:z]
prognosis	prɑːɡˈnoʊsəs	[p:p|r:r|o:ɑː|g:ɡ].ˈ[n:n|o:oʊ].[s:s|i:ə|s:s]
prognosticate	ˌprɑːɡˈnɑːstəˌkeɪt	ˌ[p:p|r:r|o:ɑː|g:ɡ].ˈ[n:n|o:ɑː].[s:s|t:t|i:ə].ˌ[c:k|a:eɪ|te:t]
prognosticated	ˌprɑːɡˈnɑːstəˌkeɪtɪd	ˌ[p:p|r:r|o:ɑː|g:ɡ].ˈ[n:n|o:ɑː].[s:s|t:t|i:ə].ˌ[c:k|a:eɪ].[t:t|e:ɪ|d:d]
prognosticater	ˌprɑːɡˈnɑːstəˌkeɪtər	ˌ[p:p|r:r|o:ɑː|g:ɡ].ˈ[n:n|o:ɑː].[s:s|t:t|i:ə].ˌ[c:k|a:eɪ].[t:t|er:ər]
prognosticates	ˌprɑːɡˈnɑːstəˌkeɪts	ˌ[p:p|r:r|o:ɑː|g:ɡ].ˈ[n:n|o:ɑː].[s:s|t:t|i:ə].ˌ[c:k|a:eɪ|te:t|s:s]
prognosticating	ˌprɑːɡˈnɑːstəˌkeɪtɪŋ	ˌ[p:p|r:r|o:ɑː|g:ɡ].ˈ[n:n|o:ɑː].[s:s|t:t|i:ə].ˌ[c:k|a:eɪ].[t:t|i:ɪ|ng:ŋ]
prognostication	prɑːɡˌnɑːstəˈkeɪʃən	[p:p|r:r|o:ɑː|g:ɡ].ˌ[n:n|o:ɑː].[s:s|t:t|i:ə].ˈ[c:k|a:eɪ].[ti:ʃ|o:ə|n:n]
prognostications	prɑːɡˌnɑːstəˈkeɪʃənz	[p:p|r:r|o:ɑː|g:ɡ].ˌ[n:n|o:ɑː].[s:s|t:t|i:ə].ˈ[c:k|a:eɪ].[ti:ʃ|o:ə|n:n|s:z]
prognosticative	ˌprɑːɡˈnɑːstəˌkeɪtɪv	ˌ[p:p|r:r|o:ɑː|g:ɡ].ˈ[n:n|o:ɑː].[s:s|t:t|i:ə].ˌ[c:k|a:eɪ].[t:t|i:ɪ|ve:v]
program	ˈproʊˌɡræm	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ|m:m]
program's	ˈproʊˌɡræmz	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ|m:m|'s:z]
programing	ˈproʊˌɡræmɪŋ	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ].[m:m|i:ɪ|ng:ŋ]
programmable	ˈproʊˌɡræməbəl	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ].[mm:m|a:ə].[b:b|le:əl]
programmatic	ˌprɑːɡrəˈmætɪk	ˌ[p:p|r:r|o:ɑː].[g:ɡ|r:r|a:ə].ˈ[mm:m|a:æ].[t:t|i:ɪ|c:k]
programme	ˈproʊˌɡræm	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ|mme:m]
programmed	ˈproʊˌɡræmd	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ|mm:m|ed:d]
programmer	ˈproʊˌɡræmər	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ].[mm:m|er:ər]
programmers	ˈproʊˌɡræmərz	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ].[mm:m|er:ər|s:z]
programming	ˈproʊˌɡræmɪŋ	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ].[mm:m|i:ɪ|ng:ŋ]
programs	ˈproʊˌɡræmz	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ|m:m|s:z]
programs'	ˈproʊˌɡræmz	ˈ[p:p|r:r|o:oʊ].ˌ[g:ɡ|r:r|a:æ|m:m|s':z]
progress	ˈprɑːˌɡres	ˈ[p:p|r:r|o:ɑː].ˌ[g:ɡ|r:r|e:e|ss:s]
progressed	prəˈɡrest	[p:p|r:r|o:ə].ˈ[g:ɡ|r:r|e:e|ss:s|ed:t]
progresses	ˈprɑːˌɡresəz	ˈ[p:p|r:r|o:ɑː].ˌ[g:ɡ|r:r|e:e].[ss:s|e:ə|s:z]
progressing	prəˈɡresɪŋ	[p:p|r:r|o:ə].ˈ[g:ɡ|r:r|e:e].[ss:s|i:ɪ|ng:ŋ]
progression	prəˈɡreʃən	[p:p|r:r|o:ə].ˈ[g:ɡ|r:r|e:e].[ss:ʃ|io:ə|n:n]
progressive	prəˈɡresɪv	[p:p|r:r|o:ə].ˈ[g:ɡ|r:r|e:e].[ss:s|i:ɪ|ve:v]
progressively	prɑːˈɡresɪvliː	[p:p|r:r|o:ɑː].ˈ[g:ɡ|r:r|e:e].[ss:s|i:ɪ|ve:v].[l:l|y:iː]
progressives	prɑːˈɡresɪvz	[p:p|r:r|o:ɑː].ˈ[g:ɡ|r:r|e:e].[ss:s|i:ɪ|v:v|es:z]
progressivity	ˌprɑːɡreˈsɪvətiː	ˌ[p:p|r:r|o:ɑː].[g:ɡ|r:r|e:e].ˈ[ss:s|i:ɪ].[v:v|i:ə].[t:t|y:iː]
prohaska	prəˈhɑːskə	[p:p|r:r|o:ə].ˈ[h:h|a:ɑː].[s:s|k:k|a:ə]
prohibit	proʊˈhɪbət	[p:p|r:r|o:oʊ].ˈ[h:h|i:ɪ].[b:b|i:ə|t:t]
prohibited	proʊˈhɪbətəd	[p:p|r:r|o:oʊ].ˈ[h:h|i:ɪ].[b:b|i:ə].[t:t|e:ə|d:d]
prohibiting	proʊˈhɪbətɪŋ	[p:p|r:r|o:oʊ].ˈ[h:h|i:ɪ].[b:b|i:ə].[t:t|i:ɪ|ng:ŋ]
prohibition	ˌproʊəˈbɪʃən	ˌ[p:p|r:r|oh:oʊ].[i:ə].ˈ[b:b|i:ɪ].[ti:ʃ|o:ə|n:n]
prohibition's	ˌproʊəˈbɪʃənz	ˌ[p:p|r:r|oh:oʊ].[i:ə].ˈ[b:b|i:ɪ].[ti:ʃ|o:ə|n:n|'s:z]
prohibitions	ˌproʊəˈbɪʃənz	ˌ[p:p|r:r|oh:oʊ].[i:ə].ˈ[b:b|i:ɪ].[ti:ʃ|o:ə|n:n|s:z]
prohibitive	proʊˈhɪbətɪv	[p:p|r:r|o:oʊ].ˈ[h:h|i:ɪ].[b:b|i:ə].[t:t|i:ɪ|ve:v]
prohibitively	proʊˈhɪbətɪvliː	[p:p|r:r|o:oʊ].ˈ[h:h|i:ɪ].[b:b|i:ə].[t:t|i:ɪ|ve:v].[l:l|y:iː]
prohibitory	proʊˈhɪbəˌtɔːriː	[p:p|r:r|o:oʊ].ˈ[h:h|i:ɪ].[b:b|i:ə].ˌ[t:t|o:ɔː].[r:r|y:iː]
prohibits	proʊˈhɪbəts	[p:p|r:r|o:oʊ].ˈ[h:h|i:ɪ].[b:b|i:ə|t:t|s:s]
proia	ˈproʊjə	ˈ[p:p|r:r|o:oʊ].[i:j|a:ə]
proietti	prɔɪˈetiː	[p:p|r:r|oi:ɔɪ].ˈ[e:e].[tt:t|i:iː]
project	ˈprɑːdʒekt	ˈ[p:p|r:r|o:ɑː].[j:dʒ|e:e|c:k|t:t]
project's	ˈprɑːdʒekts	ˈ[p:p|r:r|o:ɑː].[j:dʒ|e:e|c:k|t:t|'s:s]
projected	prɑːˈdʒektəd	[p:p|r:r|o:ɑː].ˈ[j:dʒ|e:e|c:k].[t:t|e:ə|d:d]
projectile	prɑːˈdʒektəl	[p:p|r:r|o:ɑː].ˈ[j:dʒ|e:e|c:k].[t:t|i:ə|le:l]
projectiles	prɑːˈdʒektəlz	[p:p|r:r|o:ɑː].ˈ[j:dʒ|e:e|c:k].[t:t|i:ə|l:l|es:z]
projecting	prɑːˈdʒektɪŋ	[p:p|r:r|o:ɑː].ˈ[j:dʒ|e:e|c:k].[t:t|i:ɪ|ng:ŋ]
projection	prɑːˈdʒekʃən	[p:p|r:r|o:ɑː].ˈ[j:dʒ|e:e|c:k].[ti:ʃ|o:ə|n:n]
projections	prɑːˈdʒekʃənz	[p:p|r:r|o:ɑː].ˈ[j:dʒ|e:e|c:k].[ti:ʃ|o:ə|n:n|s:z]
projective	prɑːˈdʒektɪv	[p:p|r:r|o:ɑː].ˈ[j:dʒ|e:e|c:k].[t:t|i:ɪ|ve:v]
projector	prɑːˈdʒektər	[p:p|r:r|o:ɑː].ˈ[j:dʒ|e:e|c:k].[t:t|or:ər]
projectors	prɑːˈdʒektərz	[p:p|r:r|o:ɑː].ˈ[j:dʒ|e:e|c:k].[t:t|or:ər|s:z]
projects	ˈprɑːdʒekts	ˈ[p:p|r:r|o:ɑː].[j:dʒ|e:e|c:k|t:t|s:s]
projects'	ˈprɑːdʒekts	ˈ[p:p|r:r|o:ɑː].[j:dʒ|e:e|c:k|t:t|s':s]
prokofiev	ˈprɑːkoʊˌfiːv	ˈ[p:p|r:r|o:ɑː].[k:k|o:oʊ].ˌ[f:f|ie:iː|v:v]
prokop	ˈproʊkəp	ˈ[p:p|r:r|o:oʊ].[k:k|o:ə|p:p]
prolactin	proʊˈlæktən	[p:p|r:r|o:oʊ].ˈ[l:l|a:æ|c:k].[t:t|i:ə|n:n]
proler	ˈproʊlər	ˈ[p:p|r:r|o:oʊ].[l:l|er:ər]
proletarian	ˌproʊləˈteriːən	ˌ[p:p|r:r|o:oʊ].[l:l|e:ə].ˈ[t:t|a:e].[r:r|i:iː].[a:ə|n:n]
proletariat	ˌproʊləˈteriːət	ˌ[p:p|r:r|o:oʊ].[l:l|e:ə].ˈ[t:t|a:e].[r:r|i:iː].[a:ə|t:t]
proleukin	ˈproʊluːkɪn	ˈ[p:p|r:r|o:oʊ].[le:l|u:uː].[k:k|i:ɪ|n:n]
proliferate	proʊˈlɪfərˌeɪt	[p:p|r:r|o:oʊ].ˈ[l:l|i:ɪ].[f:f|er:ər].ˌ[a:eɪ|te:t]
proliferated	prəˈlɪfərˌeɪtɪd	[p:p|r:r|o:ə].ˈ[l:l|i:ɪ].[f:f|er:ər].ˌ[a:eɪ].[t:t|e:ɪ|d:d]
proliferates	proʊˈlɪfərˌeɪts	[p:p|r:r|o:oʊ].ˈ[l:l|i:ɪ].[f:f|er:ər].ˌ[a:eɪ|te:t|s:s]
proliferating	proʊˈlɪfərˌeɪtɪŋ	[p:p|r:r|o:oʊ].ˈ[l:l|i:ɪ].[f:f|er:ər].ˌ[a:eɪ].[t:t|i:ɪ|ng:ŋ]
proliferation	ˌproʊlɪfərˈeɪʃən	ˌ[p:p|r:r|o:oʊ].[l:l|i:ɪ].[f:f|er:ər].ˈ[a:eɪ].[ti:ʃ|o:ə|n:n]
prolific	proʊˈlɪfɪk	[p:p|r:r|o:oʊ].ˈ[l:l|i:ɪ].[f:f|i:ɪ|c:k]
prolifically	proʊˈlɪfɪkliː	[p:p|r:r|o:oʊ].ˈ[l:l|i:ɪ].[f:f|i:ɪ].[ca:k|ll:l|y:iː]
prolinea	ˌproʊˈlɪniːə	ˌ[p:p|r:r|o:oʊ].ˈ[l:l|i:ɪ].[n:n|e:iː].[a:ə]
prolog	proʊˈlɑːɡ	[p:p|r:r|o:oʊ].ˈ[l:l|o:ɑː|g:ɡ]
prologue	ˈproʊlɑːɡ	ˈ[p:p|r:r|o:oʊ].[l:l|o:ɑː|gue:ɡ]
prolong	prəˈlɔːŋ	[p:p|r:r|o:ə].ˈ[l:l|o:ɔː|ng:ŋ]
prolonged	prəˈlɔːŋd	[p:p|r:r|o:ə].ˈ[l:l|o:ɔː|ng:ŋ|ed:d]
prolonging	proʊˈlɔːŋɪŋ	[p:p|r:r|o:oʊ].ˈ[l:l|o:ɔː|ng:ŋ].[i:ɪ|ng:ŋ]
prolongs	prəˈlɔːŋz	[p:p|r:r|o:ə].ˈ[l:l|o:ɔː|ng:ŋ|s:z]
prom	ˈprɑːm	ˈ[p:p|r:r|o:ɑː|m:m]
promenade	ˌprɑːməˈneɪd	ˌ[p:p|r:r|o:ɑː].[m:m|e:ə].ˈ[n:n|a:eɪ|de:d]
promenades	ˌprɑːməˈneɪdz	ˌ[p:p|r:r|o:ɑː].[m:m|e:ə].ˈ[n:n|a:eɪ|d:d|es:z]
prometheus	prəˈmiːˌθiːəs	[p:p|r:r|o:ə].ˈ[m:m|e:iː].ˌ[th:θ|e:iː].[u:ə|s:s]
promethium	prəˈmiːˌθiːəm	[p:p|r:r|o:ə].ˈ[m:m|e:iː].ˌ[th:θ|i:iː].[u:ə|m:m]
promilacidic	proʊmɪləˈsiːdɪk	[p:p|r:r|o:oʊ].[m:m|i:ɪ].[l:l|a:ə].ˈ[c:s|i:iː].[d:d|i:ɪ|c:k]
prominence	ˈprɑːmənəns	ˈ[p:p|r:r|o:ɑː].[m:m|i:ə].[n:n|e:ə|n:n|ce:s]
prominences	ˈprɑːmənənsəz	ˈ[p:p|r:r|o:ɑː].[m:m|i:ə].[n:n|e:ə|n:n].[c:s|e:ə|s:z]
prominent	ˈprɑːmənənt	ˈ[p:p|r:r|o:ɑː].[m:m|i:ə].[n:n|e:ə|n:n|t:t]
prominently	ˈprɑːmənəntliː	ˈ[p:p|r:r|o:ɑː].[m:m|i:ə].[n:n|e:ə|n:n|t:t].[l:l|y:iː]
promiscuity	ˌproʊmɪˈskjuːətiː	ˌ[p:p|r:r|o:oʊ].[m:m|i:ɪ].ˈ[s:s|c:k|u:juː].[i:ə].[t:t|y:iː]
promiscuous	ˈproʊmɪskwəs	ˈ[p:p|r:r|o:oʊ].[m:m|i:ɪ].[s:s|c:k|u:w|ou:ə|s:s]
promise	ˈprɑːməs	ˈ[p:p|r:r|o:ɑː].[m:m|i:ə|se:s]
promised	ˈprɑːməst	ˈ[p:p|r:r|o:ɑː].[m:m|i:ə|s:s|ed:t]
promises	ˈprɑːməsəz	ˈ[p:p|r:r|o:ɑː].[m:m|i:ə].[s:s|e:ə|s:z]
promising	ˈprɑːməsɪŋ	ˈ[p:p|r:r|o:ɑː].[m:m|i:ə].[s:s|i:ɪ|ng:ŋ]
promissory	ˈprɑːməˌsɔːriː	ˈ[p:p|r:r|o:ɑː].[m:m|i:ə].ˌ[ss:s|o:ɔː].[r:r|y:iː]
promo	ˈproʊˌmoʊ	ˈ[p:p|r:r|o:oʊ].ˌ[m:m|o:oʊ]
promos	ˈproʊˌmoʊz	ˈ[p:p|r:r|o:oʊ].ˌ[m:m|o:oʊ|s:z]
promote	prəˈmoʊt	[p:p|r:r|o:ə].ˈ[m:m|o:oʊ|te:t]
promoted	prəˈmoʊtɪd	[p:p|r:r|o:ə].ˈ[m:m|o:oʊ].[t:t|e:ɪ|d:d]
promoter	prəˈmoʊtər	[p:p|r:r|o:ə].ˈ[m:m|o:oʊ].[t:t|er:ər]
promoters	prəˈmoʊtərz	[p:p|r:r|o:ə].ˈ[m:m|o:oʊ].[t:t|er:ər|s:z]
promotes	prəˈmoʊts	[p:p|r:r|o:ə].ˈ[m:m|o:oʊ|te:t|s:s]
promoting	prəˈmoʊtɪŋ	[p:p|r:r|o:ə].ˈ[m:m|o:oʊ].[t:t|i:ɪ|ng:ŋ]
promotion	prəˈmoʊʃən	[p:p|r:r|o:ə].ˈ[m:m|o:oʊ].[ti:ʃ|o:ə|n:n]
promotional	prəˈmoʊʃənəl	[p:p|r:r|o:ə].ˈ[m:m|o:oʊ].[ti:ʃ|o:ə].[n:n|a:ə|l:l]
promotions	prəˈmoʊʃənz	[p:p|r:r|o:ə].ˈ[m:m|o:oʊ].[ti:ʃ|o:ə|n:n|s:z]
prompt	ˈprɑːmpt	ˈ[p:p|r:r|o:ɑː|m:m|p:p|t:t]
prompted	ˈprɑːmptɪd	ˈ[p:p|r:r|o:ɑː|m:m|p:p].[t:t|e:ɪ|d:d]
prompting	ˈprɑːmptɪŋ	ˈ[p:p|r:r|o:ɑː|m:m|p:p].[t:t|i:ɪ|ng:ŋ]
promptly	ˈprɑːmptliː	ˈ[p:p|r:r|o:ɑː|m:m|p:p|t:t].[l:l|y:iː]
prompts	ˈprɑːmpts	ˈ[p:p|r:r|o:ɑː|m:m|p:p|t:t|s:s]
proms	ˈprɑːmz	ˈ[p:p|r:r|o:ɑː|m:m|s:z]
promster	ˈprɑːmstər	ˈ[p:p|r:r|o:ɑː|m:m].[s:s|t:t|er:ər]
promsters	ˈprɑːmstərz	ˈ[p:p|r:r|o:ɑː|m:m].[s:s|t:t|er:ər|s:z]
promulgate	proʊˈmʌlɡeɪt	[p:p|r:r|o:oʊ].ˈ[m:m|u:ʌ|l:l].[g:ɡ|a:eɪ|te:t]
promulgated	ˈprɑːməlˌɡeɪtɪd	ˈ[p:p|r:r|o:ɑː].[m:m|u:ə|l:l].ˌ[g:ɡ|a:eɪ].[t:t|e:ɪ|d:d]
promulgates	proʊˈmʌlɡeɪts	[p:p|r:r|o:oʊ].ˈ[m:m|u:ʌ|l:l].[g:ɡ|a:eɪ|te:t|s:s]
promulgating	ˈprɑːməlˌɡeɪtɪŋ	ˈ[p:p|r:r|o:ɑː].[m:m|u:ə|l:l].ˌ[g:ɡ|a:eɪ].[t:t|i:ɪ|ng:ŋ]
promus	ˈproʊməs	ˈ[p:p|r:r|o:oʊ].[m:m|u:ə|s:s]
prone	ˈproʊn	ˈ[p:p|r:r|o:oʊ|ne:n]
prong	ˈprɔːŋ	ˈ[p:p|r:r|o:ɔː|ng:ŋ]
pronged	ˈprɔːŋd	ˈ[p:p|r:r|o:ɔː|ng:ŋ|ed:d]
pronger	ˈprɔːnɡər	ˈ[p:p|r:r|o:ɔː|n:n].[g:ɡ|er:ər]
pronghorn	ˈprɔːŋˌhɔːrn	ˈ[p:p|r:r|o:ɔː|ng:ŋ].ˌ[h:h|o:ɔː|r:r|n:n]
prongs	ˈprɔːŋz	ˈ[p:p|r:r|o:ɔː|ng:ŋ|s:z]
pronoun	ˈproʊnaʊn	ˈ[p:p|r:r|o:oʊ].[n:n|ou:aʊ|n:n]
pronounce	prəˈnaʊns	[p:p|r:r|o:ə].ˈ[n:n|ou:aʊ|n:n|ce:s]
pronounced	prəˈnaʊnst	[p:p|r:r|o:ə].ˈ[n:n|ou:aʊ|n:n|c:s|ed:t]
pronouncement	prəˈnaʊnsmənt	[p:p|r:r|o:ə].ˈ[n:n|ou:aʊ|n:n].[ce:s|m:m|e:ə|n:n|t:t]
pronouncements	prəˈnaʊnsmənts	[p:p|r:r|o:ə].ˈ[n:n|ou:aʊ|n:n].[ce:s|m:m|e:ə|n:n|t:t|s:s]
pronounces	prəˈnaʊnsɪz	[p:p|r:r|o:ə].ˈ[n:n|ou:aʊ|n:n].[c:s|e:ɪ|s:z]
pronouncing	prəˈnaʊnsɪŋ	[p:p|r:r|o:ə].ˈ[n:n|ou:aʊ|n:n].[c:s|i:ɪ|ng:ŋ]
pronouns	ˈproʊnaʊnz	ˈ[p:p|r:r|o:oʊ].[n:n|ou:aʊ|n:n|s:z]
pronovost	proʊˈnoʊvoʊst	[p:p|r:r|o:oʊ].ˈ[n:n|o:oʊ].[v:v|o:oʊ|s:s|t:t]
pronto	ˈprɑːntoʊ	ˈ[p:p|r:r|o:ɑː|n:n].[t:t|o:oʊ]
pronunciation	proʊˌnʌnsiːˈeɪʃən	[p:p|r:r|o:oʊ].ˌ[n:n|u:ʌ|n:n].[c:s|i:iː].ˈ[a:eɪ].[ti:ʃ|o:ə|n:n]
pronunciations	proʊˌnʌnsiːˈeɪʃənz	[p:p|r:r|o:oʊ].ˌ[n:n|u:ʌ|n:n].[c:s|i:iː].ˈ[a:eɪ].[ti:ʃ|o:ə|n:n|s:z]
proof	ˈpruːf	ˈ[p:p|r:r|oo:uː|f:f]
proofed	ˈpruːft	ˈ[p:p|r:r|oo:uː|f:f|ed:t]
proofing	ˈpruːfɪŋ	ˈ[p:p|r:r|oo:uː].[f:f|i:ɪ|ng:ŋ]
proofread	ˈpruːˌfriːd	ˈ[p:p|r:r|oo:uː].ˌ[f:f|r:r|ea:iː|d:d]
proofreading	ˈpruːˌfriːdɪŋ	ˈ[p:p|r:r|oo:uː].ˌ[f:f|r:r|ea:iː].[d:d|i:ɪ|ng:ŋ]
proofs	ˈpruːfs	ˈ[p:p|r:r|oo:uː|f:f|s:s]
prop	ˈprɑːp	ˈ[p:p|r:r|o:ɑː|p:p]
propaganda	ˌprɑːpəˈɡændə	ˌ[p:p|r:r|o:ɑː].[p:p|a:ə].ˈ[g:ɡ|a:æ|n:n].[d:d|a:ə]
